Timestamp,1. What age range do you fall in?,Sex,How would you describe your level of physical health?,What level of education have you reached?,What is your household income?,Which category best describes your employment?,What Toronto district is your primary address located in?,"On average, what distance do you travel most days of the week?","On average, how long is your commute? (each way)",Which transportation option do you end up using most often?,Does your household have access to any of the following types of private motorized vehicles?,Do you support any of the following statements?,When you use Toronto's Multi-Use Trails do you mostly,Are you aware that the City of Toronto's Multi-Use Paths have a speed limit of 20 km/h?,Have you witnessed a collision or conflict on a trail between,Do you think more should be done to manage trail users who do not respect the 20 km/h speed limit?,"Currently, any kind of e-bike may use a multi-use path if they are propelled by pedaling only.  If any e-biker or other type of vehicle is being propelled by motor power, then it is considered a motor vehicle, and may be fined.",When you use Toronto's bicycle lanes do you mostly,"Currently, any kind of e-bike may use a bicycle lane, provided they are propelled by pedalling only.  If any e-bike is being propelled by motor power, then it is considered a motor vehicle and may be fined. ","Sidewalks are for pedestrians.  Cyclists and e-bikers should not ride or drive on sidewalks.  With regards to illegal use of bicycles and e-bikes on sidewalks, should the City.","Toronto Bylaws consider personal mobility devices (such as electric wheel chairs) to be pedestrians.  Historically, there has been little risk as electric wheelchairs available for purchase have only traveled at speeds which are close to walking speed.  More recently, personal mobility devices which resemble e-bikes and may travel at more than triple walking speed have become available.  In your opinion, should the City;"
4/10/13 13:43,18 to 34,Male,Very good,College or trade school diploma,Under $20K,Full Time,"Central Toronto, York or East York",Over 35 km,16 - 29 minutes,walking,No - I do not have access to a private motorized vehicle,"Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license","walk, cycle, I very rarely use any of Toronto's Multi-Use Paths",No,I am not aware of any conflicts on the trails,No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 13:44,35 to 49,Male,Very good,High school diploma ,$80K to $99K,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance",walk,No,"pedestrians and/or runners, a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist, a conflict between two e-bikers","Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ",The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost",increase signage,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 13:45,18 to 34,Male,Very good,University degree,$80K to $99K,Full Time,"Central Toronto, York or East York",Under 2 km,15 minutes or less,bicycle,No - I do not have access to a private motorized vehicle,"Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",cycle,No,"a conflict between cyclists and pedestrians, a conflict between two cyclists, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",No - the trails are fine as they are,No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,"maintain the existing programs for signage, education and enforcement, increase education",Don't Know / Rather Not Answer
4/10/13 13:45,18 to 34,Male,Excellent,University degree,$20K to $39K,Full Time,"Central Toronto, York or East York",5 - 10 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger",cycle,No,I am not aware of any conflicts on the trails,No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","maintain the existing programs for signage, education and enforcement",Don't Know / Rather Not Answer
4/10/13 13:45,18 to 34,Female,Very good,University degree,$40K to $59K,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,bicycle,No - I do not have access to a private motorized vehicle,"Most scooter type e-bikes are wider than a bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,No,I am not aware of any conflicts on the trails,Yes - more signage,No changes are necessary to the existing bylaw,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost","increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 13:55,50 to 64 ,Female,Fairly good,High school diploma ,$80K to $99K,Full Time,Scarborough,Over 35 km,over 1 hour each way,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger",walk,No,"a conflict relating to a dog(s), a conflict relating to an in-line skater , skate boards","Yes - more enforcement (ticketing), Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",I do not use bicycle lanes,"The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) , Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement, increase education",Institute a speed limit for sidewalks
4/10/13 12:54,35 to 49,Male,Good,College or trade school diploma,$60K to $79K,Self Employed,"Central Toronto, York or East York",10 - 20 km,16 - 29 minutes,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger",cycle,No,a conflict between cyclists and pedestrians,"Yes - more signage, Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",increase education,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 13:03,18 to 34,Female,Good,High school diploma ,$20K to $39K,Part Time,"Central Toronto, York or East York",5 - 10 km,30 - 44 minutes,walking,No - I do not have access to a private motorized vehicle,"Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk, skate",No,e-biker and skater,"Yes - more signage, Yes - more educational programs ",No changes are necessary to the existing bylaw,I do not use bicycle lanes,No changes are necessary to the existing bylaw,"increase signage, increase education",Institute a speed limit for sidewalks
4/10/13 13:04,50 to 64 ,Female,Good,University degree,$80K to $99K,Full Time,"Central Toronto, York or East York",10 - 20 km,16 - 29 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","cycle, I very rarely use any of Toronto's Multi-Use Paths",No,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone, laws need to be clearly posted, as motorized scooter and bikes often use them","increase signage, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 13:06,18 to 34,Female,Poor,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk with a stroller, young child, or pet",No,I am not aware of any conflicts on the trails,No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",I do not use bicycle lanes,They should be allowed in bike lanes to stay out of the cars way. ,Allow them on the sidewalks. They are safer there. ,Do nothing
4/10/13 13:11,35 to 49,Female,Good,College or trade school diploma,$40K to $59K,Self Employed,"Central Toronto, York or East York",5 - 10 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged","walk, cycle",No,"pedestrians and/or runners, a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists","Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement, increase education",Institute a speed limit for sidewalks
4/10/13 13:17,35 to 49,Male,Good,Post graduate,$100K+,Full Time,Mississauga,Over 35 km,over 1 hour each way,transit,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,No,I am not aware of any conflicts on the trails,No - the trails are fine as they are,The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","maintain the existing programs for signage, education and enforcement, Possibly allow in outer Suburbs, and on Lakeshore where there is not trail (i.e., Longbranch) given how empty sidewalks are and how dangerous roads are.","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 13:55,35 to 49,Male,Very good,Post graduate,$100K+,Full Time,"Central Toronto, York or East York",5 - 10 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",walk,No,"a conflict relating to a dog(s), a conflict between cyclists and pedestrians","Yes - more signage, Yes - more enforcement (ticketing)",No changes are necessary to the existing bylaw,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, No ebikes on bike lanes.","maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 13:57,50 to 64 ,Male,Very good,Post graduate,,Self Employed,"Central Toronto, York or East York",Under 2 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance",cycle,No,"a conflict between cyclists and pedestrians, a conflict between two cyclists","Yes - more signage, Yes - more enforcement (ticketing)","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","No changes are necessary to the existing bylaw, The bylaw should be modified to allow e-bikes to use bicycle lanes in suburban areas, but not in busy downtown bicycle lanes, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/10/13 14:00,18 to 34,Male,Fairly good,College or trade school diploma,$20K to $39K,Full Time,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,bicycle,No - I do not have access to a private motorized vehicle,"Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk, cycle",No,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
